Timestamp,Timestamp (ms),accel.x,accel.y,accel.z,gyro.x,gyro.y,gyro.z,strain,analog_0,analog_1,current,enc-disp,enc-cont,enc-comm,VB,VG,Temp,Status1,Status2
Mon Sep 26 15:14:39 2016,1307,-4302,512,7128,252,1099,-127,13438,1061,1027,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1317,-4456,896,7108,416,1245,-108,13368,1061,1027,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1327,-4262,892,6788,355,1230,-178,13348,1061,1025,442,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1337,-3578,74,6436,352,1261,-103,13370,1061,1025,439,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:39 2016,1347,-3688,958,7094,377,1399,-255,13339,1061,1025,437,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1357,-4394,-766,2194,181,2031,-484,13359,1062,1025,440,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:39 2016,1367,-3976,444,7042,282,1857,-389,13367,1061,1024,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1377,-4392,270,5692,240,1497,-227,13356,1061,1024,438,0,0,0,199,206,132,2,1
Mon Sep 26 15:14:39 2016,1387,-4112,510,6984,327,1546,-97,13375,1061,1023,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1397,-4300,758,7002,337,1686,-42,13351,1061,1023,437,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1407,-4622,690,6226,325,1791,-24,13359,1060,1023,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1417,-4674,928,6552,254,1679,-52,13309,1061,1024,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1426,-4460,686,7028,307,1807,13,13307,1061,1024,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1437,-5786,1120,5230,180,2276,117,13325,1062,1026,447,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1446,-5854,494,6008,233,1861,57,13314,1062,1028,437,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1457,-4502,958,6280,87,1659,-36,13323,1064,1030,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1466,-4784,882,6346,52,1788,-94,13306,1064,1029,453,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1477,-5486,1098,5764,131,1719,-57,13318,1065,1030,445,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1486,-5062,1120,5506,83,1227,-313,13307,1066,1031,440,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1497,-4440,996,6716,220,2257,-245,13311,1066,1030,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1507,-6188,1188,5366,571,2946,-476,13308,1066,1026,441,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1517,-4628,418,7514,196,3203,-268,13328,1063,1023,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1526,-4272,348,7856,431,4074,-126,13316,1060,1018,446,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1537,-5132,702,6856,195,4749,0,13323,1060,1017,440,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1547,-6982,1262,6320,148,5273,21,13360,1055,1004,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1557,-6660,1154,6120,103,6000,-219,13385,1045,989,438,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1566,-4804,518,7902,289,6586,-450,13373,1031,969,439,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1577,-5692,1718,7832,669,7650,-723,13368,1017,944,437,0,0,0,199,206,133,2,1
Mon Sep 26 15:14:39 2016,1587,-4870,324,6032,475,8281,-957,13384,994,891,440,0,0,0,199,206,133,2,1
